make,fuel,doors,body,drive,weight,engine-size,bhp,mpg,price
mazda,unleaded,four,saloon,rwd,2670,140,120,27,18280
mazda,diesel,four,saloon,rwd,2700,134,72,39,18344
mercedes-benz,diesel,four,saloon,rwd,3515,183,123,25,25552
mercedes-benz,diesel,four,wagon,rwd,3750,183,123,25,28248
mercedes-benz,diesel,two,hardtop,rwd,3495,183,123,25,28176
mercedes-benz,diesel,four,saloon,rwd,3770,183,123,25,31600
mercedes-benz,unleaded,four,saloon,rwd,3740,234,155,18,34184
mercedes-benz,unleaded,two,convertible,rwd,3685,234,155,18,35056
mercedes-benz,unleaded,four,saloon,rwd,3900,308,184,16,40960
mercedes-benz,unleaded,two,hardtop,rwd,3715,304,184,16,45400
mercury,unleaded,two,hatchback,rwd,2910,140,175,24,16503
mitsubishi,unleaded,two,hatchback,fwd,1918,92,68,41,5389
mitsubishi,unleaded,two,hatchback,fwd,1944,92,68,38,6189
mitsubishi,unleaded,two,hatchback,fwd,2004,92,68,38,6669
mitsubishi,unleaded,two,hatchback,fwd,2145,98,102,30,7689
mitsubishi,unleaded,two,hatchback,fwd,2370,110,116,30,9959
mitsubishi,unleaded,two,hatchback,fwd,2328,122,88,32,8499
mitsubishi,unleaded,two,hatchback,fwd,2833,156,145,24,12629
mitsubishi,unleaded,two,hatchback,fwd,2921,156,145,24,14869
mitsubishi,unleaded,two,hatchback,fwd,2926,156,145,24,14489
mitsubishi,unleaded,four,saloon,fwd,2365,122,88,32,6989
mitsubishi,unleaded,four,saloon,fwd,2405,122,88,32,8189
mitsubishi,unleaded,four,saloon,fwd,2403,110,116,30,9279
mitsubishi,unleaded,four,saloon,fwd,2403,110,116,30,9279
nissan,unleaded,two,saloon,fwd,1889,97,69,37,5499
nissan,diesel,two,saloon,fwd,2017,103,55,50,7099
nissan,unleaded,two,saloon,fwd,1918,97,69,37,6649
nissan,unleaded,four,saloon,fwd,1938,97,69,37,6849
nissan,unleaded,four,wagon,fwd,2024,97,69,37,7349
nissan,unleaded,two,saloon,fwd,1951,97,69,37,7299
nissan,unleaded,two,hatchback,fwd,2028,97,69,37,7799
nissan,unleaded,four,saloon,fwd,1971,97,69,37,7499
nissan,unleaded,four,wagon,fwd,2037,97,69,37,7999
nissan,unleaded,two,hardtop,fwd,2008,97,69,37,8249
nissan,unleaded,four,hatchback,fwd,2324,120,97,34,8949
nissan,unleaded,four,saloon,fwd,2302,120,97,34,9549
nissan,unleaded,four,saloon,fwd,3095,181,152,22,13499
nissan,unleaded,four,wagon,fwd,3296,181,152,22,14399
nissan,unleaded,four,saloon,fwd,3060,181,152,25,13499
nissan,unleaded,two,hatchback,rwd,3071,181,160,25,17199
nissan,unleaded,two,hatchback,rwd,3139,181,200,23,19699
nissan,unleaded,two,hatchback,rwd,3139,181,160,25,18399
peugot,unleaded,four,saloon,rwd,3020,120,97,24,11900
peugot,diesel,four,saloon,rwd,3197,152,95,33,13200
peugot,unleaded,four,wagon,rwd,3230,120,97,24,12440
peugot,diesel,four,wagon,rwd,3430,152,95,25,13860
peugot,unleaded,four,saloon,rwd,3075,120,95,24,15580
peugot,diesel,four,saloon,rwd,3252,152,95,33,16900
peugot,unleaded,four,wagon,rwd,3285,120,95,24,16695
peugot,diesel,four,wagon,rwd,3485,152,95,25,17075
peugot,unleaded,four,saloon,rwd,3075,120,97,24,16630
peugot,diesel,four,saloon,rwd,3252,152,95,33,17950
peugot,unleaded,four,saloon,rwd,3130,134,142,24,18150
plymouth,unleaded,two,hatchback,fwd,1918,90,68,41,5572
plymouth,unleaded,two,hatchback,fwd,2128,98,102,30,7957
plymouth,unleaded,four,hatchback,fwd,1967,90,68,38,6229
plymouth,unleaded,four,saloon,fwd,1989,90,68,38,6692
plymouth,unleaded,four,saloon,fwd,2191,98,68,38,7609
plymouth,unleaded,four,wagon,fwd,2535,122,88,30,8921
plymouth,unleaded,two,hatchback,rwd,2818,156,145,24,12764
porsche,unleaded,two,hatchback,rwd,2778,151,143,27,22018
porsche,unleaded,two,hardtop,rwd,2756,194,207,25,32528
porsche,unleaded,two,hardtop,rwd,2756,194,207,25,34028
porsche,unleaded,two,convertible,rwd,2800,194,207,25,37028
porsche,unleaded,two,hatchback,rwd,3366,203,288,28,
renault,unleaded,four,wagon,fwd,2579,132,,31,9295
renault,unleaded,two,hatchback,fwd,2460,132,,31,9895
saab,unleaded,two,hatchback,fwd,2658,121,110,28,11850
saab,unleaded,four,saloon,fwd,2695,121,110,28,12170
saab,unleaded,two,hatchback,fwd,2707,121,110,28,15040
saab,unleaded,four,saloon,fwd,2758,121,110,28,15510
saab,unleaded,two,hatchback,fwd,2808,121,160,26,18150
saab,unleaded,four,saloon,fwd,2847,121,160,26,18620
subaru,unleaded,two,hatchback,fwd,2050,97,69,36,5118
subaru,unleaded,two,hatchback,fwd,2120,108,73,31,7053
subaru,unleaded,two,hatchback,4wd,2240,108,73,31,7603
subaru,unleaded,four,saloon,fwd,2145,108,82,37,7126
subaru,unleaded,four,saloon,fwd,2190,108,82,33,7775
subaru,unleaded,four,saloon,fwd,2340,108,94,32,9960
subaru,unleaded,four,saloon,4wd,2385,108,82,25,9233
subaru,unleaded,four,saloon,4wd,2510,108,111,29,11259
subaru,unleaded,four,wagon,fwd,2290,108,82,32,7463
subaru,unleaded,four,wagon,fwd,2455,108,94,31,10198
subaru,unleaded,four,wagon,4wd,2420,108,82,29,8013
subaru,unleaded,four,wagon,4wd,2650,108,111,23,11694
toyota,unleaded,two,hatchback,fwd,1985,92,62,39,5348
toyota,unleaded,two,hatchback,fwd,2040,92,62,38,6338
toyota,unleaded,four,hatchback,fwd,2015,92,62,38,6488
toyota,unleaded,four,wagon,fwd,2280,92,62,37,6918
toyota,unleaded,four,wagon,4wd,2290,92,62,32,7898
toyota,unleaded,four,wagon,4wd,3110,92,62,32,8778
toyota,unleaded,four,saloon,fwd,2081,98,70,37,6938
toyota,unleaded,four,hatchback,fwd,2109,98,70,37,7198
toyota,diesel,four,saloon,fwd,2275,110,56,36,7898
toyota,diesel,four,hatchback,fwd,2275,110,56,47,7788
toyota,unleaded,four,saloon,fwd,2094,98,70,47,7738
toyota,unleaded,four,hatchback,fwd,2122,98,70,34,8358
toyota,unleaded,four,saloon,fwd,2140,98,70,34,9258
toyota,unleaded,two,saloon,rwd,2169,98,70,34,8058
toyota,unleaded,two,hatchback,rwd,2204,98,70,34,8238
toyota,unleaded,two,saloon,rwd,2265,98,112,29,9298
toyota,unleaded,two,hatchback,rwd,2300,98,112,29,9538
toyota,unleaded,two,hardtop,rwd,2540,146,116,30,8449
toyota,unleaded,two,hardtop,rwd,2536,146,116,30,9639
toyota,unleaded,two,hatchback,rwd,2551,146,116,30,9989
toyota,unleaded,two,hardtop,rwd,2679,146,116,30,11199
toyota,unleaded,two,hatchback,rwd,2714,146,116,30,11549
toyota,unleaded,two,convertible,rwd,2975,146,116,30,17669
toyota,unleaded,four,saloon,fwd,2326,122,92,34,8948
toyota,diesel,four,saloon,fwd,2480,110,73,33,10698
toyota,unleaded,four,hatchback,fwd,2414,122,92,32,9988
toyota,unleaded,four,saloon,fwd,2414,122,92,32,10898
toyota,unleaded,four,hatchback,fwd,2458,122,92,32,11248
toyota,unleaded,two,hatchback,rwd,2976,171,161,24,16558
toyota,unleaded,two,hatchback,rwd,3016,171,161,24,15998
toyota,unleaded,four,saloon,rwd,3131,171,156,24,15690
toyota,unleaded,four,wagon,rwd,3151,161,156,24,15750
volkswagen,diesel,two,saloon,fwd,2261,97,52,46,7775
volkswagen,unleaded,two,saloon,fwd,2209,109,85,34,7975
volkswagen,diesel,four,saloon,fwd,2264,97,52,46,7995
volkswagen,unleaded,four,saloon,fwd,2212,109,85,34,8195
volkswagen,unleaded,four,saloon,fwd,2275,109,85,34,8495
volkswagen,diesel,four,saloon,fwd,2319,97,68,42,9495
volkswagen,unleaded,four,saloon,fwd,2300,109,100,32,9995
volkswagen,unleaded,two,convertible,fwd,2254,109,90,29,11595
volkswagen,unleaded,two,hatchback,fwd,2221,109,90,29,9980
volkswagen,unleaded,four,saloon,fwd,2661,136,110,24,13295
volkswagen,diesel,four,saloon,fwd,2579,97,68,38,13845
volkswagen,unleaded,four,wagon,fwd,2563,109,88,31,12290
volvo,unleaded,four,saloon,rwd,2912,141,114,28,12940
volvo,unleaded,four,wagon,rwd,3034,141,114,28,13415
volvo,unleaded,four,saloon,rwd,2935,141,114,28,15985
volvo,unleaded,four,wagon,rwd,3042,141,114,28,16515
volvo,unleaded,four,saloon,rwd,3045,130,162,22,18420
volvo,unleaded,four,wagon,rwd,3157,130,162,22,18950
volvo,unleaded,four,saloon,rwd,2952,141,114,28,16845
volvo,unleaded,four,saloon,rwd,3049,141,160,25,19045
volvo,unleaded,four,saloon,rwd,3012,173,134,23,21485
volvo,diesel,four,saloon,rwd,3217,145,106,27,22470
volvo,unleaded,four,saloon,rwd,3062,141,114,25,22625
